§	/yyybs/
仑	/op/xop/	/lun0/
仒	/oy/xoy/	/bing1/
仓	/osu/	/chong1/
仔	/ond/	/jai9/
仕	/og/	/si6/
他	/opd/	/ta1/
仗	/ojk/	/jeung6/jeung4/
付	/odi/	/fu6/
仙	/ou/	/sin1/
仚	/ou/xou/	/hin1/
仛	/ohp/	/tok4/
仜	/om/xxom/	/hung0/
仝	/om/xom/	/tung0/
仞	/oshi/	/yan6/
仟	/ohj/	/chin1/
仠	/omj/	/gon9/
仡	/oon/	/ngat6/
仢	/opi/	/bok6/
代	/oip/	/doi6/
令	/oini/	/ling6/
以	/vio/	/yi5/
仦	/of/xxxof/	/chaau4/
仧	/ymo/	/cheung0/
仨	/ommm/	/saam1/
仩	/oym/	/cheung0/
仪	/oik/xoik/	/yi0/
仫	/ohi/	/muk6/
们	/olis/	/moon0/
仭	/osk/xxosk/	/yan6/
仮	/ohe/	/ga4/ga9/
仯	/ofh/	/chaau4/
仰	/ohvl/	/yeung5/
仱	/ooin/	/kim0/
仲	/ol/xol/	/jung6/
仳	/opp/	/pei9/
仴	/ob/xxob/	/woot6/
仵	/ooj/	/ng5/
件	/ohq/	/gin6/gin9/
价	/ooll/	/ga4/
仸	/ohk/	/yiu9/
仹	/oqj/	/fung1/
仺	/osm/	/chong1/
任	/ohg/	/yam6/
仼	/omg/xomg/	/wong0/
份	/ocsh/	/fan6/
仾	/omvm/xomvm/	/dai1/
仿	/oyhs/	/fong9/
伀	/oci/	/jung1/
企	/oylm/	/kei5/
伂	/ojb/	/pooi4/
伃	/onin/xonin/	/yue0/
伄	/onl/xonl/	/diu4/
伅	/opu/xopu/	/dan6/
伆	/ophh/	/mat6/
伇	/ohne/	/yik6/
伈	/op/xxop/	/sam9/
伉	/oyhn/	/kong4/
伊	/osk/	/yi1/
伋	/onhe/	/kap1/
伌	/omsu/	/aai4/
伍	/omdm/	/ng5/
伎	/oje/	/gei6/
伏	/oik/	/fuk6/
伐	/oi/	/fat6/
休	/od/	/yau1/
伒	/ohml/	/gan4/
伓	/omf/	/pei1/
伔	/obhn/obhu/	/dam9/
伕	/oqo/	/fu1/
伖	/oke/	/tong9/
众	/ooo/	/jung4/
优	/oiku/	/yau1/
伙	/of/	/fo9/
会	/ommi/	/wooi6/wooi9/wooi5/
伛	/osk/xosk/	/yue9/
伜	/oknj/	/chui4/
伝	/ommi/xommi/	/chuen0/
伞	/ofj/	/saan4/
伟	/oqs/	/wai5/
传	/oqni/	/chuen0/
伡	/okq/	/che1/
伢	/omvh/	/nga0/
伣	/obhu/xobhu/	/yin5/
伤	/ooks/	/seung1/
伥	/opo/	/cheung1/chaang0/
伦	/oop/	/lun0/
伧	/oosu/	/chong1/
伨	/opim/opmm/	/sun1/
伩	/oyk/	/sun4/
伪	/oiks/	/ngai6/
伫	/ojm/	/ning0/
伬	/oso/	/chek4/
伭	/oyvi/	/yin0/
伮	/ove/	/nou5/
伯	/oha/	/baak4/
估	/ojr/	/gu9/
伱	/oof/	/nei5/
伲	/osp/xosp/	/nei0/
伳	/opt/	/sit4/
伴	/ofq/	/boon6/
伵	/owc/	/gwik1/
伶	/ooii/	/ling0/
伷	/olw/	/jau6/
伸	/olwl/	/san1/
伹	/obm/	/chui1/
伺	/osmr/	/ji6/si6/
伻	/omfj/	/ping1/
似	/ovio/	/chi5/
伽	/oksr/	/ga1/
伾	/omfm/xomfm/	/pei1/
伿	/orc/	/yi6/
佀	/orlr/	/chi5/
佁	/oir/	/yi5/
佂	/omym/	/jing1/
佃	/ow/	/din6/
佄	/otm/	/ham0/
佅	/ojd/	/mooi6/
但	/oam/	/daan6/
佇	/ojmn/	/ning0/
佈	/oklb/	/bou4/
佉	/ogi/	/kui1/
佊	/odhe/	/bei9/
佋	/oshr/	/siu6/
佌	/oymp/	/chi9/
位	/oyt/	/wai6/wai9/
低	/ohpm/ohvi/	/dai1/
住	/oyg/	/jue6/
佐	/okm/	/jo4/
佑	/okr/xokr/	/yau6/
佒	/olbk/	/yeung5/
体	/odm/	/tai9/
佔	/oyr/	/jim4/
何	/omnr/	/ho0/
佖	/oph/	/bit1/
佗	/ojp/	/to0/
佘	/ommf/	/se0/
余	/omd/	/yue0/
佚	/ohqo/	/yat6/
佛	/olln/	/fat6/
作	/oos/	/jok4/
佝	/opr/	/kui1/
佞	/ommv/	/ning6/
佟	/ohey/	/tung0/
你	/onf/	/nei5/
佡	/oou/	/hin1/
佢	/oss/	/kui5/
佣	/obq/	/yung0/
佤	/omvn/	/nga5/
佥	/omfm/	/chim1/
佦	/omr/xomr/	/yau6/
佧	/oymy/	/ka1/
佨	/opru/	/baau1/
佩	/ohnb/	/pooi4/
佪	/owr/	/wooi0/
佫	/oher/	/hok6/
佬	/ojkp/	/lou9/
佭	/oheq/	/gong4/
佮	/oomr/	/gap4/
佯	/otq/	/yeung0/
佰	/oma/	/baak4/
佱	/ommm/xommm/	/faat4/
佲	/onir/	/ming5/
佳	/ogg/	/gaai1/
佴	/osj/	/yi6/
併	/ott/	/bing4/ping4/
佶	/ogr/xogr/	/gat1/
佷	/oav/	/han9/
佸	/ohjr/	/koot4/
佹	/onmu/	/gwai9/
佺	/oomg/	/chuen0/
佻	/olmo/	/tiu1/
佼	/oyck/	/gaau9/
佽	/oimo/ommo/	/chi4/
佾	/ocb/	/yat6/
使	/ojlk/	/si9/sai9/
侀	/omtn/	/ying0/
侁	/ohgu/	/san1/
侂	/oihp/xoihp/	/tok4/
侃	/orhu/	/hon9/
侄	/omig/	/jat6/
侅	/oyvo/	/goi1/
來	/doo/	/loi0/
侇	/okn/xokn/	/yi0/
侈	/onin/	/chi9/
侉	/okms/	/kwa9/
侊	/ofmu/	/gwong1/
例	/omnn/	/lai6/
侌	/oini/xoini/	/yam1/
侍	/ogdi/	/si6/
侎	/ofd/xofd/	/mei5/
侏	/ohjd/	/jue1/
侐	/ohbt/	/gwik1/
侑	/okb/	/yau6/
侒	/ojv/	/on1/
侓	/olq/	/lut6/
侔	/oihq/	/mau0/
侕	/ombl/	/yi0/
侖	/ombt/	/lun0/
侗	/obmr/	/tung0/
侘	/ojhp/	/cha4/
侙	/oipm/	/chik1/
侚	/opa/	/sun1/
供	/otc/	/gung1/
侜	/ohby/	/jau1/
依	/oyhv/	/yi1/
侞	/ovr/	/yue0/
侟	/okld/	/chuen0/
侠	/okt/	/hap6/
価	/omlw/	/ga4/
侢	/omgb/	/daai4/
侣	/orr/	/lui5/
侤	/ojks/	/haau9/
侥	/ojpu/	/hiu1/
侦	/oybo/	/jing1/
侧	/obon/	/jak1/
侨	/ohkl/	/kiu0/
侩	/oomi/	/kooi9/
侪	/oykl/	/chaai0/
侫	/oyvv/	/ning6/
侬	/ohbv/	/nung0/
侭	/osoy/	/jun9/
侮	/oowy/	/mou5/
侯	/onmk/	/hau0/
侰	/oskr/	/kwan4/
侱	/orhg/ormg/	/ching9/
侲	/ommv/xommv/	/jan4/
侳	/ooog/	/jo6/
侴	/omnn/xomnn/	/chau9/
侵	/osme/	/cham1/
侶	/orhr/	/lui5/
侷	/ossr/	/guk6/guk9/
侸	/omrt/	/sue6/
侹	/onkg/	/ting5/
侺	/ouon/	/sam6/
侻	/ocru/	/tui4/
侼	/ojbd/	/boot6/
侽	/owks/	/naam0/
侾	/ojkd/	/haau1/
便	/omlk/	/bin6/bin9/pin0/
俀	/obv/	/tui9/
俁	/orvk/	/yue5/
係	/ohvf/	/hai6/
促	/oryo/	/chuk1/
俄	/ohqi/	/ngo0/
俅	/oije/	/kau0/
俆	/oomd/	/chui0/
俇	/okhg/	/gwaang6/
俈	/ohgr/	/guk1/
俉	/ommr/	/ng6/
俊	/oice/	/jun4/
俋	/orau/	/yap1/
俌	/oijb/	/fu6/
俍	/oiav/xoiav/	/leung0/
俎	/oobm/	/jo9/
俏	/ofb/	/chiu4/
俐	/ohdn/	/lei6/
俑	/onib/	/yung9/
俒	/ojmu/	/wan6/
俓	/omvm/	/ging4/
俔	/obuu/	/yin5/
俕	/ojd/xojd/	/saam4/
俖	/omfr/	/pooi9/
俗	/ocor/	/juk6/
俘	/obnd/	/fu1/
俙	/okkb/	/hei1/
俚	/owg/	/lei5/
俛	/onau/	/min5/
俜	/olws/	/ping1/
保	/ord/	/bou9/
俞	/ombn/	/yue0/
俟	/oiok/	/ji6/
俠	/okoo/	/hap6/
信	/oymr/	/sun4/
俢	/oheh/	/sau1/
俣	/ormk/	/yue5/
俤	/ocnh/	/dai6/
俥	/ojwj/	/che1/
俦	/oqki/	/chau0/
俧	/ogp/xogp/	/ji4/
俨	/omth/	/yim5/
俩	/omob/	/leung5/
俪	/ombb/xombb/	/lai6/
俫	/odt/	/loi0/
俬	/ohdi/	/si1/
俭	/oomm/	/gim6/
修	/olhh/oloh/	/sau1/
俯	/oioi/	/fu9/
俰	/ohdr/	/wo6/
俱	/obmc/	/kui1/
俲	/oyks/	/haau6/
俳	/olmy/	/paai0/
俴	/oii/	/chin5/
俵	/oqmv/	/biu9/
俶	/oyfe/	/chuk1/
俷	/obau/	/fai4/
俸	/oqkq/	/fung6/
俹	/omlm/	/a4/
俺	/oklu/	/aan9/
俻	/ohew/	/bei6/
俼	/oyib/	/yuk6/
俽	/ohlo/	/yan1/
俾	/ohwj/	/bei9/
俿	/oypn/oypu/	/fu9/
倀	/osmv/	/cheung1/chaang0/
倁	/ookr/	/ji1/
倂	/oyjj/xoyjj/	/bing4/
倃	/ohor/ohyr/	/gau6/
倄	/okkb/xokkb/	/haau0/
倅	/oyoj/	/chui4/
倆	/omlb/	/leung5/
倇	/ojnu/	/yuen9/
倈	/odoo/	/loi0/
倉	/oiar/	/chong1/
倊	/ocip/	/jung4/
個	/owjr/	/go4/
倌	/ojrr/	/goon1/
倍	/oytr/	/pooi5/
倎	/otbc/	/tin9/
倏	/olhk/olok/xolok/	/suk1/
倐	/olhf/xxxol/	/suk1/
們	/oan/	/moon0/
倒	/omgn/	/dou9/
倓	/off/	/taam0/
倔	/osuu/	/gwat6/
倕	/ohjm/	/sui0/
倖	/ogtj/	/hang6/
倗	/obb/	/pang0/
倘	/ofbr/	/tong9/
候	/olnk/	/hau6/
倚	/okmr/	/yi9/
倛	/otmc/	/hei1/
倜	/obgr/	/tik1/
倝	/jjo/	/gon4/
倞	/oyrf/	/ging6/
借	/ota/	/je4/
倠	/oog/xoog/	/sui1/
倡	/oaa/	/cheung1/
倢	/ojlo/	/jit4/
倣	/oysk/	/fong9/
値	/ojbv/xojbv/	/jik6/
倥	/ojcm/	/hung1/
倦	/ofqu/	/guen6/
倧	/ojmf/	/jung1/
倨	/osjr/	/gui4/
倩	/oqmb/	/sin6/
倪	/ohxu/	/ngai0/
倫	/oomb/	/lun0/
倬	/oyaj/	/cheuk4/
倭	/ohdv/	/wai1/
倮	/owd/	/lo9/
倯	/odci/	/sung1/
倰	/ogce/	/ling0/
倱	/oapp/	/wan6/
倲	/odw/	/dung1/
倳	/ojln/	/ji4/
倴	/okjt/	/ban6/
倵	/ompm/	/mou5/
倶	/obuc/	/kui1/
倷	/okmf/	/noi6/
倸	/obd/	/choi9/
倹	/oomo/xoomo/	/gim6/
债	/oqmo/	/jaai4/
倻	/osjl/	/ye0/
值	/ojbm/	/jik6/
倽	/oomr/xoomr/	/sa9/
倾	/opmo/	/king1/
倿	/oytv/	/ning6/
偀	/otlk/	/ying1/
偁	/obgb/	/ching1/
偂	/otbn/	/chin0/
偃	/osav/	/yin9/
偄	/ombk/	/yuen5/
偅	/ohjg/	/jung4/
